"NUMERO","TITULO","AUTOR","TEMA","EDITORIAL","COMENTARIO"
"42","Tu, el inmortal","Roger Zelazny","Ficcion","Biblioteca de Ciencia Ficcion",""
"44","Empotrados","Ian Watson","Ficcion","Biblioteca de Ciencia Ficcion",""
"45","Relaciones extrañas","Philip Jose Farmer","Ficcion","Biblioteca de Ciencia Ficcion",""
"46","El mundo interior","Robert Silverberg","Ficcion","Biblioteca de Ciencia Ficcion",""
"28","Esclava del deseo","Johanna Lindsey","Romantica","Cieculo","1993/ 1995"
"47","Ojo en el cielo","Philip K. Dick","Ficcion","Biblioteca de Ciencia Ficcion",""
"48","Periplo nocturno","Bob Shaw","Ficcion","Biblioteca de Ciencia Ficcion",""
"49","Tropas del espacio","Robert A. Heinlein","Ficcion","Biblioteca de Ciencia Ficcion",""
"50","Un caso de conciencia","James Blish","Ficcion","Biblioteca de Ciencia Ficcion",""
"52","Computer connection","Alfred Bester","Ficcion","Biblioteca de Ciencia Ficcion",""
"53","El fin de la eternidad","Isaac Asimov","Ficcion","Biblioteca de Ciencia Ficcion",""
"54","El sol desnudo","Isaac Asimov","Ficcion","Biblioteca de Ciencia Ficcion",""
"55","Mundo Anillo","Larry Niven","Ficcion","Biblioteca de Ciencia Ficcion",""
"56","El cartero llama dos veces","James M. Cain","Novela","BestSellers Planeta",""
"57","La amenaza de Andromeda","Michael Crichton","Novela","BestSellers Planeta",""
"58","En busca del arca perdida","Campell Black","Novela","BestSellers Planeta",""
"59","Doce del patibulo I","E.M. Nathanson","Novela","BestSellers Planeta",""
"60","Doce del patibulo II","E.M. Nathanson","Novela","BestSellers Planeta",""
"61","Hijos de papa","Fernando Vizcaino Casas","Novela","BestSellers Planeta",""
"62","El hombre invisible","H.G. Wells","Novela","BestSellers Planeta",""
"63","Psicosis","Robert Bloch","Novela","BestSellers Planeta",""
"64","La guerra de las galaxias","George Lucas","Novela","BestSellers Planeta",""
"66","La fuga de Logan","Willian F. Nolan","Novela","BestSellers Planeta",""
"67","El giocondo","Francisco Umbral","Novela","BestSellers Planeta",""
"68","Tiburon","Peter Benchley","Novela","BestSellers Planeta",""
"69","La guerra de los mundos","H.G. Wells","Novela","BestSellers Planeta",""
"70","El exorcista","William P. Blatty","Novela","BestSellers Planeta",""
"71","Ben Hur","Lewis Wallace","Novela","BestSellers Planeta",""
"72","Eloisa esta debajo de un almendro/ Las 5 advertenc","Enrique Jardiel Poncela","Teatro","Colección Austral",""
"73","Historia de una escalera/ Las meninas","Antonio Buero Vallejo","Teatro","Colección Austral",""
"74","Lady Johanna","Julie Garwood","Romantica","Ediciones B. Argentina","2002"
"75","Asi habla el corazon","Johanna Lindsey","Romantica","Ediciones B. Argentina","2003"
"76","Traiciones","Anne Harrell","Romantica","Editorial LIBSA","2000"
